file_name,additional_feature
085.png,"a Chinese style close up of a woman in a kimono holding a fan, g liulian art style, handsome and elegant, long blue dress, doing a prayer, natural beauty expressive pose, inspired by Dong Yuan, wearing long silver robes, dark blue and white robes, lithograph print, young man with beautiful face, ascending form the sky"
086.png,"a Chinese style close up of a painting of a horse with a bird on it, chinese ink brush, by Zou Yigui, 2 0 1 9, by Qi Baishi, exhibition catalog, black and white watercolor, donkey, using watercolor, photo courtesy museum of art, tyrus wong, featured on artstattion, 3 0, figurative art"
087.png,"a Chinese style close up of a painting of a woman and a dog, style of conrad roset, by Chen Yifei, cushart kenz, 62 x 47 inches, inspired by Wang Yuan, by James Brooks, beautifully drawn, cow-girl, the artist has used bright, blue-black, medium: colored pencil, hyperrealism, cute artwork, pets"
088.png,"Chinese style, there is a bird that is sitting on a branch of a tree, traditional chinese ink painting, apple blossoms, by Wang Shimin, black background hyperrealism, oil on canvas (1921)”, connectedness, white and black color palette, raku, google arts and cultures"
089.png,"a Chinese style close up of a painting of a dog laying on the ground, traditional chinese ink painting, panda panda panda, by Jiao Bingzhen, traditional brushes strokes, 8/8, four faces in one creature, black and white color palette, exhibition catalog, cute dog"
090.png,"a Chinese style close up of a painting of two pandas on a tree branch, by Qi Baishi, 1960s advertisement, clean strokes, interconnected, sketch black and white colors, raphael personnaz, photo courtesy museum of art, exhibition catalogue, dynamic brush strokes, year 1968"
091.png,"a Chinese style close up of a painting of a cat on a tree branch, chinese president with bananas, black and white watercolor, connectedness, monkeys, by Chen Yifei, youtube video screenshot, photo courtesy museum of art, by Huang Gongwang, guangjian huang, 2 0 1 9, botanical drawing"
092.png,"a Chinese style close up of a painting of a woman with rabbits, traditional chinese watercolor, smiling man, 1960s advertisement, four seasons, photo courtesy museum of art, by Rumiko Takahashi, carrying flowers, smiling at the viewer, black and white watercolor, wearing red robes, lithograph, black and white painting, coy"
093.png,"a Chinese style painting of a cat laying on a rock in the snow, overlaid with chinese text, winding branches, by Gao Kegong, dried flowers, inspired by Kanō Shōsenin, swarm of fireflies, fine swirling lines, illegible, wild vegetation"
094.png,"there is a Chinese style painting of two horses grazing on a hill, by Miho Hirano, trees growing on its body, connected to nature via vines, in style of photorealism artist, trending on artforum, by Ji Sheng, photorealism pastel, 0, on amino, 9"
095.png,"a Chinese style close up of a painting of a woman in a dress, chinese watercolor, stjepan sejic, black gown, high detailed official artwork, grey and gold color palette, wearing long gown, by Peter de Seve, as a painting"
096.png,"a Chinese style painting of a woman and a dog on a white background, qi baishi style, the rabbit has pink fur, billie eilish as a sad nun, by ruan jia and stanley artgerm, by George Baselitz, illustration], photo courtesy museum of art, irving penn, very sharp likeness, watercolor style, 1960s illustration, confucius and jury trial"
097.png,"a Chinese style close up of a painting of a cat with blue eyes, qi baishi style, cai xukun, official artwork, photo courtesy museum of art, blue and white color scheme, two headed cat, smiling at the viewer, with multiple eyes, trustworthy eyes, tails worn"
098.png,"a close up of a Chinese style painting of a woman with a fan, xianxia hero, doing an elegant pose, 1 9 7 0 s poster, chinese watercolor style, brilliant blue flowing hair, flowing black gown, like rolf armstrong style, black and white watercolor, by Guan Daosheng, hand - tinted, full art, unknown title, she is smiling and happy"
099.png,"a close up of a Chinese style painting of a ram on a tree branch, white hanfu, made in 2019, dramatic brush painting, displayed in the exhibition hall, realistic painting effect, long flowing white hair, with black horns instead of ears, a painting of two people"
100.png,"Chinese style, araffe and a bird on a branch with a branch of a tree, by Qi Baishi, closeup painting of bee, by Hans Hartung, season 3 ( 1 9 9 7 ), monochromatic airbrush painting, 1 6 : 9, lithograph, inspired by Dong Yuan, 2 0 1 9, araki"
101.png,"a close up of a Chinese style painting of two cats and a dog, headpiece headpiece headpiece, traditional chinese textures, cowboy themed, stylised fox - like appearance, dog ears, brown hair in two buns, no hat, with dogs, artist unknown, sekiro"
102.png,"a close up of a Chinese style painting of birds on a tree branch, by Qi Baishi, swirling wispy smoke, black sketch, connected to nature via vines, by Cy Twombly, ruan jia beautiful!, photo courtesy museum of art, exhibition catalog, by Sesshū Tōyō"
103.png,"a close up of a Chinese style painting of a bird flying in the air, jung gi kim, scp-914, chinese watercolor, very very beautiful furry art, hyperrealism mixed with 2 d, by Dustin Nguyen, trending on artforum, exhibited at the british museum, photo courtesy museum of art, by Shen Zhou"
104.png,"Chinese style, there are two birds sitting on a branch with a white background, traditional chinese ink painting, official poster artwork, in the technique of old masters, raku, wind blowing leaves, dramatic brush strokes, white eagle icon, 1 male, dynamic character, tones of black in background, pigeon"
105.png,"Chinese style, there are many birds flying around a tree in the sky, traditional chinese ink painting, by Louis le Brocquy, trending on artforum, black and orange colour palette, by Chen Yifei, bisley, artist unknown, inspired by Henri Michaux, black and white watercolor, marshes"
106.png,"Chinese style, there are two birds sitting on a branch of a tree, zhong lin, auction, in 2 0 1 8, cover image, 2 0 1 9, sargent, photo courtesy museum of art, chinese ink brush, connectedness, 3389861569, featured on artstattion, connecting life, the watchers, by Ma Yuan"
107.png,"a close up of a Chinese style painting of a woman sitting on a chair, onmyoji detailed art, flowing teal-colored silk, water color and pen, long hair with a ponytail, by Wu Guanzhong, intricate hakama, 2d side view, official print, nezha"
108.png,"Chinese style, araffe sitting on a branch of a bamboo tree with a bamboo stalk, black ink painting, swirling flowers, detailed visible brushmarks, stark light and shadows, long petals, both faces visible, black and white ink, 2000, taoism, h 1 0 8 0, honeysuckle, luscious brushstrokes, white petal, symbol"
109.png,"Chinese style, there are two dogs that are standing in the grass, chinese calligraphic painting, youtube video screenshot, featured on artstattion, realistic black and white, light and shadow effects, both faces visible, wearing white robes, watercolor technique, white grey color palette, goat horns, 2 0"
110.png,"there is a Chinese style painting of a tree with birds on it, chinese ink and wash painting, abstract design, connected to nature via vines, by Ma Yuan, youtube thumbnail, black and white watercolor, dried petals, brown and gold color palette, gestural lines, pengzhen zhang, playful composition, swirling energy, illegible"
111.png,"Chinese style, there are two mice that are sitting on a branch of a tree, traditional chinese watercolor, triptych, sargent, black on white background, muted dark colors, deaths, no signature, soft shadowing"
112.png,"a close up of a Chinese style painting of a monkey on a tree branch, qi baishi style, in style of ruan jia, yoshitaka amano photorealistic, the tarot card of earthly demise, hear no evil, digital screenshot, captures emotion and movement, shih tzu, description"
113.png,"a close up of a Chinese style painting of a man with a sword and sheep, by Qi Baishi, new yorker cartoon, goats, illustration | rutkowski, by Jim Dine, 2 0 1 9, by Lois Dodd, ( watercolor ), artforum"
114.png,"a close up of a Chinese style painting of two goats in a tree, by Qi Baishi, border collie dog on book cover, white and black color palette, huge dramatic brush strokes, long ears, both faces visible, two heads, chinese ink and wash painting, by ashley wood, photo courtesy museum of art, 2019, by Ma Yuan"
115.png,"a close up of a Chinese style painting of a woman kneeling down with a dog, chinese watercolor, 1960s advertisement, smiling young woman, photo courtesy museum of art, kim jung gi style, sōsaku hanga, film screenshot, year 1968, playful and cheerful, cover image"
116.png,"Chinese style, arafed view of a mountain with a waterfall and trees, traditional chinese art, smoky sky background, face made out of clouds, delicate and precise brushwork, wow clouds, dreamy hazy, overhanging branches, low fog layer, dynasty warriors, traditional chinese watercolor, humidity mold, very very very very famous art"
117.png,"Chinese style painting of a monkey and a bird on a white surface, by Cao Buxing, eric lacombe, promotional picture, inspired by Miyagawa Chōshun, brandishing naginata haldberds, vignette illustration, hovering in the air, photorealistic image, round-cropped"
118.png,"Chinese style, arafed woman in a white dress sitting on a stool with a bunch of flowers, vintage 7 0 s anime watercolor, beautiful oriental woman, like rolf armstrong style, by Osamu Tezuka, from vogue magazine, artist sketch, year 1 9 7 0, reclining, lithograph, by Bouchta El Hayani, edo era, she is smiling and happy"
119.png,"arafed Chinese style painting of a wolf with a long tail and a big nose, by Bill Sienkiewicz, a pig, inspired by Ogata Kōrin, by Graham Sutherland, screenshot from game, tocchini"
120.png,"Chinese style, arafed duck in a white dress with a black head and feet, by Chen Yifei, cushart, minimalist photorealist, chinese water color, isolated white background, from joker (2019), looking like a bird, oleo, photorealist"
121.png,"a Chinese style close up of a woman in a kimono with a basket, qi baishi style, skinny girl in white boho dress, boy girl traditional romance, in style of ruan jia, beautiful female soldier, 19-year-old girl, black and white color palette, loose white braid, beauty girl"
122.png,"a Chinese style close up of a painting of a woman in a dress, chinese watercolor, black and gold colors, photo pinterest, from vogue magazine, wearing long silver robes, portrait of young man, natural beauty expressive pose, fashion style, spring fashion"
123.png,"a Chinese style close up of a painting of a woman sitting on a chair, traditional chinese watercolor, 1976 magazine cover, fashion designer, like rolf armstrong style, purple and black color palate, white and black clothing, from 1985, lithograph, 1960"
124.png,"there is a Chinese style painting of a man holding a knife in his hand, traditional chinese ink painting, long wispy tentacles, by Min Zhen, anthropomorphic deer female, draped in transparent cloth, paint smears, inspired by Dong Yuan, female image in shadow"
125.png,"a Chinese style close up of a painting of a woman sitting on a bench, ebay listing thumbnail, overlaid with chinese adverts, long elegant tail, wearing long royal robe, by Jack Smith, mort drucker, inspired by Léon Bakst, by William Kentridge"
126.png,"a Chinese style close up of a painting of a woman riding a bull, by Rumiko Takahashi, traditional chinese painting, ebay listing thumbnail, with black horns instead of ears, hyper bullish, screen shot, cloven feet and horns, orientalist, style of conrad roset, ancient india"
127.png,"Chinese style, arafed woman in a kimono dress sitting on a bench, chinese painting style, the lovers tarot card, like rolf armstrong style, wearing a noblewoman's outfit, black and white painting, smiling at the viewer, watercolor effect, wearing ornate clothing"
